# Reviewed expectations: Linux root NFSv3 adapter, not native FUSE conformance.
# First root review: 2026-09-20, pjdfstest 85a8aea9e685999ef0540392fd80535f873d7ff7.
# Review, source dependencies and isolated supported-kind check:
# docs/bugs/2026-09-20-pjdfstest-device-fixture-cascades.md
# A-26 authorizes FIFO/socket metadata; block/character devices remain refused.
# NFS-OPEN and NFS-TIME are client/wire limits, not shared VFS exclusions.
# This initializes the root review left pending in conformance.md section 3.4.
# One case per line; no file wildcard. Unlisted failures, listed passes and absent
# listed cases fail the gate. This list can only shrink after this review.
# The historical transport slug is native-linux-fuse; the record remains LIMITED.
# Device names are never substituted, and the upstream suite is never patched in CI.

tests/chmod/00.t:32  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:33  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:34  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:36  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:37  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:38  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:41  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:42  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:43  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:44  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:46  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:47  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:48  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:51  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:74  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:75  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:76  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:77  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
